Source,Target
CWE-668,CVE-2022-22483
CWE-668,CVE-2020-9291
CWE-668,CVE-2020-8698
CWE-668,CVE-2020-8449
CWE-668,CVE-2020-8121
CWE-668,CVE-2020-7912
CWE-668,CVE-2020-6774
CWE-668,CVE-2020-6490
CWE-668,CVE-2020-6442
CWE-668,CVE-2020-5887
CWE-668,CVE-2020-5422
CWE-668,CVE-2020-5386
CWE-668,CVE-2020-4989
CWE-668,CVE-2020-36532
CWE-668,CVE-2020-36319
CWE-668,CVE-2020-35215
CWE-668,CVE-2020-3315
CWE-668,CVE-2020-28145
CWE-668,CVE-2020-27872
CWE-668,CVE-2020-27361
CWE-668,CVE-2020-26650
CWE-668,CVE-2020-26602
CWE-668,CVE-2020-26272
CWE-668,CVE-2020-26261
CWE-668,CVE-2020-26186
CWE-668,CVE-2020-26086
CWE-668,CVE-2020-26084
CWE-668,CVE-2020-25459
CWE-668,CVE-2020-25073
CWE-668,CVE-2020-25040
CWE-668,CVE-2020-25039
CWE-668,CVE-2020-24511
CWE-668,CVE-2020-22535
CWE-668,CVE-2020-21503
CWE-668,CVE-2020-21356
CWE-668,CVE-2020-20948
CWE-668,CVE-2020-1981
CWE-668,CVE-2020-1945
CWE-668,CVE-2020-19155
CWE-668,CVE-2020-18972
CWE-668,CVE-2020-18754
CWE-668,CVE-2020-18647
CWE-668,CVE-2020-18646
CWE-668,CVE-2020-16268
CWE-668,CVE-2020-16263
CWE-668,CVE-2020-16247
CWE-668,CVE-2020-16212
CWE-668,CVE-2020-15816
CWE-668,CVE-2020-15264
CWE-668,CVE-2020-15215
CWE-668,CVE-2020-14130
CWE-668,CVE-2020-14064
CWE-668,CVE-2020-13946
CWE-668,CVE-2020-13670
CWE-668,CVE-2020-13472
CWE-668,CVE-2020-13470
CWE-668,CVE-2020-13469
CWE-668,CVE-2020-13343
CWE-668,CVE-2020-13240
CWE-668,CVE-2020-12687
CWE-668,CVE-2020-12488
CWE-668,CVE-2020-12142
CWE-668,CVE-2020-12020
CWE-668,CVE-2020-11934
CWE-668,CVE-2020-11931
CWE-668,CVE-2020-11610
CWE-668,CVE-2020-11582
CWE-668,CVE-2020-11303
CWE-668,CVE-2020-10867
CWE-668,CVE-2020-10744
CWE-668,CVE-2020-10581
CWE-668,CVE-2020-10271
CWE-668,CVE-2020-10238
CWE-668,CVE-2021-46744
CWE-668,CVE-2021-46687
CWE-668,CVE-2021-46354
CWE-668,CVE-2021-45708
CWE-668,CVE-2021-45494
CWE-668,CVE-2021-45454
CWE-668,CVE-2021-45421
CWE-668,CVE-2021-45420
CWE-668,CVE-2021-45402
CWE-668,CVE-2021-45116
CWE-668,CVE-2021-45101
CWE-668,CVE-2021-45097
CWE-668,CVE-2021-44886
CWE-668,CVE-2021-44852
CWE-668,CVE-2021-44838
CWE-668,CVE-2021-44837
CWE-668,CVE-2021-44746
CWE-668,CVE-2021-44717
CWE-668,CVE-2021-44676
CWE-668,CVE-2021-44525
CWE-668,CVE-2021-44523
CWE-668,CVE-2021-44522
CWE-668,CVE-2021-44049
CWE-668,CVE-2021-43955
CWE-668,CVE-2021-43893
CWE-668,CVE-2021-43888
CWE-668,CVE-2021-43560
CWE-668,CVE-2021-43536
CWE-668,CVE-2021-43235
CWE-668,CVE-2021-43227
CWE-668,CVE-2021-43224
CWE-668,CVE-2021-43222
CWE-668,CVE-2021-43216
CWE-668,CVE-2021-43129
CWE-668,CVE-2021-43066
CWE-668,CVE-2021-42749
CWE-668,CVE-2021-42748
CWE-668,CVE-2021-42712
CWE-668,CVE-2021-42641
CWE-668,CVE-2021-42640
CWE-668,CVE-2021-42536
CWE-668,CVE-2021-42295
CWE-668,CVE-2021-42255
CWE-668,CVE-2021-42254
CWE-668,CVE-2021-42067
CWE-668,CVE-2021-42001
CWE-668,CVE-2021-4180
CWE-668,CVE-2021-41065
CWE-668,CVE-2021-40639
CWE-668,CVE-2021-40497
CWE-668,CVE-2021-40496
CWE-668,CVE-2021-40288
CWE-668,CVE-2021-40051
CWE-668,CVE-2021-40012
CWE-668,CVE-2021-40005
CWE-668,CVE-2021-39969
CWE-668,CVE-2021-39915
CWE-668,CVE-2021-39892
CWE-668,CVE-2021-39805
CWE-668,CVE-2021-39777
CWE-668,CVE-2021-39757
CWE-668,CVE-2021-39715
CWE-668,CVE-2021-39646
CWE-668,CVE-2021-39633
CWE-668,CVE-2021-39631
CWE-668,CVE-2021-39628
CWE-668,CVE-2021-39045
CWE-668,CVE-2021-38931
CWE-668,CVE-2021-38924
CWE-668,CVE-2021-38905
CWE-668,CVE-2021-38904
CWE-668,CVE-2021-38879
CWE-668,CVE-2021-38712
CWE-668,CVE-2021-3859
CWE-668,CVE-2021-38505
CWE-668,CVE-2021-38130
CWE-668,CVE-2021-38009
CWE-668,CVE-2021-38004
CWE-668,CVE-2021-37704
CWE-668,CVE-2021-37133
CWE-668,CVE-2021-3709
CWE-668,CVE-2021-36917
CWE-668,CVE-2021-36774
CWE-668,CVE-2021-36723
CWE-668,CVE-2021-36319
CWE-668,CVE-2021-36198
CWE-668,CVE-2021-35092
CWE-668,CVE-2021-34723
CWE-668,CVE-2021-34539
CWE-668,CVE-2021-34435
CWE-668,CVE-2021-33669
CWE-668,CVE-2021-33330
CWE-668,CVE-2021-33096
CWE-668,CVE-2021-33081
CWE-668,CVE-2021-33079
CWE-668,CVE-2021-32788
CWE-668,CVE-2021-32760
CWE-668,CVE-2021-32731
CWE-668,CVE-2021-31814
CWE-668,CVE-2021-31412
CWE-668,CVE-2021-31410
CWE-668,CVE-2021-31407
CWE-668,CVE-2021-31154
CWE-668,CVE-2021-30992
CWE-668,CVE-2021-30988
CWE-668,CVE-2021-30966
CWE-668,CVE-2021-30947
CWE-668,CVE-2021-30946
CWE-668,CVE-2021-30944
CWE-668,CVE-2021-30921
CWE-668,CVE-2021-30898
CWE-668,CVE-2021-30346
CWE-668,CVE-2021-30345
CWE-668,CVE-2021-30314
CWE-668,CVE-2021-29768
CWE-668,CVE-2021-29719
CWE-668,CVE-2021-29701
CWE-668,CVE-2021-29280
CWE-668,CVE-2021-29115
CWE-668,CVE-2021-28568
CWE-668,CVE-2021-28488
CWE-668,CVE-2021-28168
CWE-668,CVE-2021-27770
CWE-668,CVE-2021-27424
CWE-668,CVE-2021-27236
CWE-668,CVE-2021-26366
CWE-668,CVE-2021-26363
CWE-668,CVE-2021-26361
CWE-668,CVE-2021-26341
CWE-668,CVE-2021-26327
CWE-668,CVE-2021-26317
CWE-668,CVE-2021-26314
CWE-668,CVE-2021-26312
CWE-668,CVE-2021-26309
CWE-668,CVE-2021-25515
CWE-668,CVE-2021-25432
CWE-668,CVE-2021-25357
CWE-668,CVE-2021-25352
CWE-668,CVE-2021-24868
CWE-668,CVE-2021-24775
CWE-668,CVE-2021-24001
CWE-668,CVE-2021-23958
CWE-668,CVE-2021-23484
CWE-668,CVE-2021-23264
CWE-668,CVE-2021-23263
CWE-668,CVE-2021-23034
CWE-668,CVE-2021-22897
CWE-668,CVE-2021-22869
CWE-668,CVE-2021-22785
CWE-668,CVE-2021-22572
CWE-668,CVE-2021-22568
CWE-668,CVE-2021-22550
CWE-668,CVE-2021-22549
CWE-668,CVE-2021-22539
CWE-668,CVE-2021-22468
CWE-668,CVE-2021-22454
CWE-668,CVE-2021-22420
CWE-668,CVE-2021-22385
CWE-668,CVE-2021-22047
CWE-668,CVE-2021-22044
CWE-668,CVE-2021-22009
CWE-668,CVE-2021-21878
CWE-668,CVE-2021-21382
CWE-668,CVE-2021-21334
CWE-668,CVE-2021-20999
CWE-668,CVE-2021-20551
CWE-668,CVE-2021-20461
CWE-668,CVE-2021-20373
CWE-668,CVE-2021-20355
CWE-668,CVE-2021-20050
CWE-668,CVE-2021-1918
CWE-668,CVE-2021-1438
CWE-668,CVE-2021-1423
CWE-668,CVE-2021-1045
CWE-668,CVE-2021-1037
CWE-668,CVE-2021-0986
CWE-668,CVE-2021-0978
CWE-668,CVE-2021-0975
CWE-668,CVE-2021-0734
CWE-668,CVE-2021-0588
CWE-668,CVE-2021-0542
CWE-668,CVE-2022-38770
CWE-668,CVE-2022-38400
CWE-668,CVE-2022-38258
CWE-668,CVE-2022-38184
CWE-668,CVE-2022-38006
CWE-668,CVE-2022-37958
CWE-668,CVE-2022-37703
CWE-668,CVE-2022-37438
CWE-668,CVE-2022-37146
CWE-668,CVE-2022-36901
CWE-668,CVE-2022-36875
CWE-668,CVE-2022-36830
CWE-668,CVE-2022-36829
CWE-668,CVE-2022-36780
CWE-668,CVE-2022-36226
CWE-668,CVE-2022-35936
CWE-668,CVE-2022-35837
CWE-668,CVE-2022-35716
CWE-668,CVE-2022-35406
CWE-668,CVE-2022-35288
CWE-668,CVE-2022-35235
CWE-668,CVE-2022-34867
CWE-668,CVE-2022-34775
CWE-668,CVE-2022-34765
CWE-668,CVE-2022-34464
CWE-668,CVE-2022-34047
CWE-668,CVE-2022-33753
CWE-668,CVE-2022-33751
CWE-668,CVE-2022-33700
CWE-668,CVE-2022-33699
CWE-668,CVE-2022-33698
CWE-668,CVE-2022-33696
CWE-668,CVE-2022-33694
CWE-668,CVE-2022-33692
CWE-668,CVE-2022-32559
CWE-668,CVE-2022-32530
CWE-668,CVE-2022-32430
CWE-668,CVE-2022-32328
CWE-668,CVE-2022-32249
CWE-668,CVE-2022-31847
CWE-668,CVE-2022-31846
CWE-668,CVE-2022-31845
CWE-668,CVE-2022-31673
CWE-668,CVE-2022-31649
CWE-668,CVE-2022-31475
CWE-668,CVE-2022-31309
CWE-668,CVE-2022-31308
CWE-668,CVE-2022-31260
CWE-668,CVE-2022-31238
CWE-668,CVE-2022-30752
CWE-668,CVE-2022-30751
CWE-668,CVE-2022-30750
CWE-668,CVE-2022-30746
CWE-668,CVE-2022-30734
CWE-668,CVE-2022-30732
CWE-668,CVE-2022-30728
CWE-668,CVE-2022-30714
CWE-668,CVE-2022-30607
CWE-668,CVE-2022-30334
CWE-668,CVE-2022-30330
CWE-668,CVE-2022-30223
CWE-668,CVE-2022-30187
CWE-668,CVE-2022-29901
CWE-668,CVE-2022-29869
CWE-668,CVE-2022-29820
CWE-668,CVE-2022-29646
CWE-668,CVE-2022-29500
